,sex_F,sex_M,time_launch,time_dinner,time_late night snack,feeling_plearsure / joy,feeling_sadness / depressed,feeling_annoying,weather_sunny,weather_cloudy / rain,weather_etc,taste
334,0,1,0,1,0,1,0,0,1,0,0,savory
209,1,0,0,1,0,0,1,0,0,1,0,spicy
92,0,1,1,0,0,1,0,0,1,0,0,savory
24,1,0,0,1,0,1,0,0,0,1,0,spicy
160,1,0,1,0,0,1,0,0,1,0,0,savory
247,0,1,0,0,1,0,1,0,1,0,0,spicy
96,1,0,1,0,0,1,0,0,0,1,0,sweet
213,1,0,1,0,0,1,0,0,1,0,0,sweet
295,1,0,1,0,0,1,0,0,1,0,0,spicy
244,1,0,0,1,0,0,0,1,0,1,0,savory
152,1,0,0,1,0,0,1,0,0,1,0,spicy
321,0,1,0,1,0,1,0,0,0,0,1,spicy
201,0,1,0,1,0,1,0,0,0,0,1,sweet
263,0,1,1,0,0,1,0,0,1,0,0,savory
187,0,1,1,0,0,1,0,0,0,1,0,savory
52,1,0,0,1,0,1,0,0,0,1,0,savory
243,0,1,0,0,1,1,0,0,0,0,1,savory
358,0,1,0,1,0,0,0,1,0,1,0,sweet
62,1,0,0,0,1,0,1,0,0,1,0,spicy
280,1,0,0,1,0,1,0,0,1,0,0,spicy
216,1,0,0,1,0,0,0,1,1,0,0,savory
220,0,1,0,0,1,1,0,0,1,0,0,spicy
294,1,0,1,0,0,1,0,0,0,0,1,spicy
61,0,1,1,0,0,1,0,0,0,0,1,spicy
208,0,1,0,1,0,1,0,0,1,0,0,savory
199,0,1,0,0,1,0,1,0,1,0,0,savory
69,0,1,0,0,1,1,0,0,1,0,0,savory
86,1,0,1,0,0,0,1,0,1,0,0,savory
200,1,0,0,1,0,1,0,0,1,0,0,sweet
94,1,0,0,1,0,1,0,0,1,0,0,spicy
134,0,1,0,1,0,1,0,0,0,0,1,spicy
190,1,0,1,0,0,0,0,1,1,0,0,spicy
55,1,0,0,1,0,1,0,0,0,1,0,sweet
283,1,0,1,0,0,0,1,0,1,0,0,savory
125,1,0,1,0,0,1,0,0,0,1,0,savory
45,1,0,1,0,0,1,0,0,0,0,1,savory
240,1,0,1,0,0,0,0,1,0,1,0,savory
340,1,0,0,1,0,0,0,1,0,1,0,savory
79,1,0,0,1,0,0,0,1,1,0,0,spicy
16,0,1,1,0,0,0,0,1,0,1,0,sweet
15,1,0,1,0,0,1,0,0,0,0,1,savory
373,0,1,0,0,1,1,0,0,0,1,0,spicy
255,1,0,0,1,0,1,0,0,1,0,0,spicy
319,0,1,1,0,0,1,0,0,0,0,1,sweet
121,1,0,0,1,0,1,0,0,0,1,0,spicy
332,0,1,1,0,0,0,1,0,0,0,1,sweet
170,1,0,1,0,0,1,0,0,0,1,0,sweet
64,0,1,0,0,1,1,0,0,1,0,0,sweet
41,0,1,0,1,0,1,0,0,1,0,0,savory
99,0,1,1,0,0,1,0,0,1,0,0,spicy
226,1,0,1,0,0,1,0,0,1,0,0,spicy
307,0,1,0,0,1,0,0,1,1,0,0,spicy
298,1,0,0,1,0,1,0,0,1,0,0,spicy
172,1,0,0,1,0,1,0,0,1,0,0,spicy
317,1,0,1,0,0,0,1,0,0,1,0,savory
229,0,1,0,1,0,1,0,0,0,1,0,sweet
112,1,0,0,1,0,1,0,0,0,1,0,spicy
80,1,0,1,0,0,1,0,0,1,0,0,sweet
370,0,1,0,1,0,0,0,1,0,1,0,spicy
146,1,0,0,0,1,0,1,0,0,1,0,spicy
274,0,1,0,1,0,1,0,0,0,0,1,savory
42,0,1,0,0,1,1,0,0,1,0,0,spicy
312,1,0,0,1,0,1,0,0,1,0,0,spicy
53,0,1,0,1,0,1,0,0,1,0,0,spicy
207,0,1,1,0,0,1,0,0,0,0,1,spicy
153,0,1,0,0,1,1,0,0,0,1,0,sweet
83,0,1,0,0,1,1,0,0,1,0,0,spicy
222,1,0,0,0,1,0,1,0,0,1,0,spicy
253,1,0,1,0,0,0,1,0,1,0,0,sweet
326,1,0,1,0,0,1,0,0,1,0,0,sweet
144,1,0,0,0,1,0,0,1,0,1,0,sweet
23,0,1,1,0,0,1,0,0,0,1,0,savory
349,1,0,0,1,0,1,0,0,0,1,0,savory
182,0,1,0,0,1,0,1,0,0,1,0,savory
84,0,1,0,1,0,1,0,0,1,0,0,spicy
162,0,1,0,1,0,1,0,0,1,0,0,spicy
303,0,1,0,0,1,1,0,0,0,0,1,savory
38,1,0,0,0,1,1,0,0,0,0,1,sweet
117,0,1,1,0,0,0,0,1,1,0,0,sweet
230,0,1,0,0,1,0,0,1,1,0,0,savory
214,1,0,1,0,0,0,1,0,1,0,0,savory
320,1,0,0,0,1,1,0,0,1,0,0,savory
87,0,1,0,1,0,1,0,0,0,0,1,savory
100,1,0,0,1,0,1,0,0,1,0,0,savory
227,1,0,1,0,0,1,0,0,1,0,0,sweet
70,0,1,1,0,0,0,0,1,1,0,0,savory
5,1,0,0,1,0,1,0,0,0,1,0,savory
76,0,1,1,0,0,1,0,0,1,0,0,savory
193,0,1,1,0,0,0,1,0,1,0,0,spicy
34,0,1,1,0,0,0,1,0,0,1,0,savory
337,1,0,1,0,0,0,0,1,0,0,1,savory
93,0,1,0,1,0,1,0,0,1,0,0,savory
333,0,1,1,0,0,1,0,0,1,0,0,sweet
335,1,0,1,0,0,1,0,0,0,1,0,sweet
231,1,0,0,0,1,1,0,0,0,1,0,savory
215,1,0,0,1,0,1,0,0,0,1,0,savory
302,1,0,1,0,0,0,0,1,1,0,0,spicy
115,1,0,0,1,0,1,0,0,1,0,0,savory
140,1,0,0,0,1,1,0,0,0,1,0,savory
145,1,0,0,1,0,1,0,0,0,0,1,spicy
116,1,0,1,0,0,1,0,0,1,0,0,savory
327,1,0,1,0,0,1,0,0,1,0,0,spicy
203,1,0,1,0,0,1,0,0,0,1,0,spicy
