,time_launch,time_dinner,time_late night snack,feeling_plearsure / joy,feeling_sadness / depressed,feeling_annoying,weather_sunny,weather_cloudy / rain,weather_etc,taste
298,0,1,0,1,0,0,1,0,0,spicy
172,0,1,0,1,0,0,1,0,0,spicy
317,1,0,0,0,1,0,0,1,0,savory
229,0,1,0,1,0,0,0,1,0,sweet
112,0,1,0,1,0,0,0,1,0,spicy
80,1,0,0,1,0,0,1,0,0,sweet
370,0,1,0,0,0,1,0,1,0,spicy
146,0,0,1,0,1,0,0,1,0,spicy
274,0,1,0,1,0,0,0,0,1,savory
42,0,0,1,1,0,0,1,0,0,spicy
312,0,1,0,1,0,0,1,0,0,spicy
53,0,1,0,1,0,0,1,0,0,spicy
207,1,0,0,1,0,0,0,0,1,spicy
153,0,0,1,1,0,0,0,1,0,sweet
83,0,0,1,1,0,0,1,0,0,spicy
222,0,0,1,0,1,0,0,1,0,spicy
253,1,0,0,0,1,0,1,0,0,sweet
326,1,0,0,1,0,0,1,0,0,sweet
144,0,0,1,0,0,1,0,1,0,sweet
23,1,0,0,1,0,0,0,1,0,savory
349,0,1,0,1,0,0,0,1,0,savory
182,0,0,1,0,1,0,0,1,0,savory
84,0,1,0,1,0,0,1,0,0,spicy
162,0,1,0,1,0,0,1,0,0,spicy
303,0,0,1,1,0,0,0,0,1,savory
38,0,0,1,1,0,0,0,0,1,sweet
117,1,0,0,0,0,1,1,0,0,sweet
230,0,0,1,0,0,1,1,0,0,savory
214,1,0,0,0,1,0,1,0,0,savory
320,0,0,1,1,0,0,1,0,0,savory
87,0,1,0,1,0,0,0,0,1,savory
100,0,1,0,1,0,0,1,0,0,savory
227,1,0,0,1,0,0,1,0,0,sweet
70,1,0,0,0,0,1,1,0,0,savory
5,0,1,0,1,0,0,0,1,0,savory
76,1,0,0,1,0,0,1,0,0,savory
193,1,0,0,0,1,0,1,0,0,spicy
34,1,0,0,0,1,0,0,1,0,savory
337,1,0,0,0,0,1,0,0,1,savory
93,0,1,0,1,0,0,1,0,0,savory
333,1,0,0,1,0,0,1,0,0,sweet
335,1,0,0,1,0,0,0,1,0,sweet
231,0,0,1,1,0,0,0,1,0,savory
215,0,1,0,1,0,0,0,1,0,savory
302,1,0,0,0,0,1,1,0,0,spicy
115,0,1,0,1,0,0,1,0,0,savory
140,0,0,1,1,0,0,0,1,0,savory
145,0,1,0,1,0,0,0,0,1,spicy
116,1,0,0,1,0,0,1,0,0,savory
327,1,0,0,1,0,0,1,0,0,spicy
203,1,0,0,1,0,0,0,1,0,spicy
202,0,0,1,0,0,1,1,0,0,savory
290,0,1,0,1,0,0,1,0,0,savory
234,0,0,1,1,0,0,0,1,0,savory
352,1,0,0,1,0,0,0,1,0,spicy
350,1,0,0,0,1,0,1,0,0,sweet
131,0,0,1,0,0,1,0,1,0,spicy
149,0,1,0,0,1,0,0,1,0,spicy
189,0,1,0,0,1,0,0,1,0,savory
366,0,0,1,1,0,0,1,0,0,spicy
359,0,0,1,1,0,0,0,1,0,sweet
104,1,0,0,1,0,0,0,1,0,savory
339,1,0,0,1,0,0,1,0,0,savory
90,1,0,0,0,0,1,1,0,0,savory
91,0,1,0,0,1,0,0,1,0,sweet
40,1,0,0,0,1,0,1,0,0,spicy
285,0,1,0,1,0,0,1,0,0,savory
57,1,0,0,0,0,1,1,0,0,spicy
329,1,0,0,1,0,0,1,0,0,savory
47,0,1,0,0,1,0,0,1,0,sweet
44,1,0,0,1,0,0,1,0,0,savory
54,1,0,0,0,1,0,0,1,0,sweet
266,1,0,0,1,0,0,1,0,0,spicy
305,0,0,1,0,1,0,0,0,1,sweet
228,1,0,0,1,0,0,0,1,0,sweet
249,0,1,0,1,0,0,0,1,0,spicy
163,0,1,0,1,0,0,1,0,0,sweet
141,0,0,1,0,0,1,1,0,0,savory
323,0,0,1,0,1,0,0,1,0,spicy
365,0,1,0,1,0,0,1,0,0,savory
345,0,0,1,0,0,1,0,1,0,savory
175,0,1,0,1,0,0,0,1,0,savory
12,1,0,0,0,0,1,1,0,0,savory
95,1,0,0,1,0,0,1,0,0,sweet
135,0,0,1,1,0,0,1,0,0,savory
147,1,0,0,0,0,1,0,1,0,spicy
306,1,0,0,1,0,0,0,1,0,spicy
318,0,1,0,0,0,1,0,0,1,spicy
106,0,1,0,0,1,0,1,0,0,savory
176,0,1,0,0,1,0,0,1,0,spicy
218,0,1,0,1,0,0,1,0,0,spicy
262,1,0,0,0,0,1,1,0,0,savory
85,1,0,0,0,1,0,0,1,0,spicy
66,0,1,0,1,0,0,1,0,0,savory
242,0,0,1,1,0,0,1,0,0,spicy
239,0,0,1,1,0,0,1,0,0,savory
252,0,1,0,1,0,0,0,1,0,spicy
232,0,1,0,1,0,0,0,1,0,spicy
272,1,0,0,1,0,0,1,0,0,spicy
89,0,0,1,0,0,1,1,0,0,savory
361,1,0,0,1,0,0,1,0,0,spicy
114,0,0,1,0,0,1,1,0,0,savory
353,1,0,0,0,1,0,1,0,0,sweet
217,1,0,0,0,1,0,1,0,0,spicy
292,0,1,0,1,0,0,1,0,0,sweet
98,1,0,0,0,0,1,1,0,0,sweet
205,0,1,0,1,0,0,1,0,0,savory
369,0,0,1,0,1,0,0,0,1,spicy
73,0,1,0,1,0,0,1,0,0,savory
344,1,0,0,0,0,1,1,0,0,savory
97,1,0,0,0,0,1,0,1,0,savory
372,0,1,0,0,0,1,0,1,0,spicy
150,1,0,0,0,1,0,0,1,0,sweet
132,0,0,1,0,0,1,1,0,0,savory
130,0,0,1,0,0,1,1,0,0,spicy
161,1,0,0,1,0,0,0,1,0,savory
325,0,0,1,1,0,0,0,1,0,savory
173,0,1,0,1,0,0,0,1,0,spicy
127,1,0,0,1,0,0,1,0,0,savory
267,0,0,1,0,0,1,0,1,0,sweet
151,0,0,1,1,0,0,1,0,0,spicy
261,0,1,0,1,0,0,0,1,0,spicy
10,1,0,0,0,1,0,0,1,0,spicy
