,age_10대,age_20대,age_30대,age_40대,age_50대 이상,sex_F,sex_M,time_launch,time_dinner,time_dinner,taste
34,1,0,0,0,0,0,1,1,0,0,savory
337,0,0,0,1,0,1,0,1,0,0,savory
93,0,1,0,0,0,0,1,0,1,1,savory
333,1,0,0,0,0,0,1,1,0,0,sweet
335,1,0,0,0,0,1,0,1,0,0,sweet
231,0,0,1,0,0,1,0,0,0,0,savory
215,0,0,1,0,0,1,0,0,1,1,savory
302,0,0,0,0,1,1,0,1,0,0,spicy
115,0,1,0,0,0,1,0,0,1,1,savory
140,0,0,0,1,0,1,0,0,0,0,savory
145,0,0,0,0,1,1,0,0,1,1,spicy
116,0,0,1,0,0,1,0,1,0,0,savory
327,0,0,1,0,0,1,0,1,0,0,spicy
203,0,0,0,0,1,1,0,1,0,0,spicy
202,0,0,1,0,0,1,0,0,0,0,savory
290,0,0,0,0,1,0,1,0,1,1,savory
234,0,0,0,0,1,0,1,0,0,0,savory
352,0,0,1,0,0,1,0,1,0,0,spicy
350,0,0,0,1,0,0,1,1,0,0,sweet
131,1,0,0,0,0,0,1,0,0,0,spicy
149,0,0,1,0,0,0,1,0,1,1,spicy
189,1,0,0,0,0,0,1,0,1,1,savory
366,0,0,0,1,0,1,0,0,0,0,spicy
359,0,1,0,0,0,1,0,0,0,0,sweet
104,0,0,1,0,0,0,1,1,0,0,savory
339,0,0,0,1,0,0,1,1,0,0,savory
90,0,0,0,1,0,1,0,1,0,0,savory
91,0,1,0,0,0,0,1,0,1,1,sweet
40,0,0,1,0,0,1,0,1,0,0,spicy
285,0,1,0,0,0,0,1,0,1,1,savory
57,0,0,0,0,1,0,1,1,0,0,spicy
329,0,0,0,0,1,0,1,1,0,0,savory
47,0,1,0,0,0,0,1,0,1,1,sweet
44,0,0,0,1,0,1,0,1,0,0,savory
54,0,0,1,0,0,1,0,1,0,0,sweet
266,0,0,0,1,0,1,0,1,0,0,spicy
305,0,0,1,0,0,0,1,0,0,0,sweet
228,0,0,1,0,0,1,0,1,0,0,sweet
249,0,0,0,1,0,1,0,0,1,1,spicy
163,0,0,0,1,0,0,1,0,1,1,sweet
141,0,0,1,0,0,1,0,0,0,0,savory
323,0,0,0,1,0,1,0,0,0,0,spicy
365,0,0,0,1,0,0,1,0,1,1,savory
345,1,0,0,0,0,1,0,0,0,0,savory
175,0,0,0,0,1,1,0,0,1,1,savory
12,0,0,0,0,1,0,1,1,0,0,savory
95,1,0,0,0,0,1,0,1,0,0,sweet
135,1,0,0,0,0,0,1,0,0,0,savory
147,0,0,0,1,0,1,0,1,0,0,spicy
306,0,0,0,0,1,0,1,1,0,0,spicy
318,1,0,0,0,0,0,1,0,1,1,spicy
106,1,0,0,0,0,1,0,0,1,1,savory
176,0,0,0,1,0,1,0,0,1,1,spicy
218,0,0,0,0,1,1,0,0,1,1,spicy
262,0,0,1,0,0,1,0,1,0,0,savory
85,1,0,0,0,0,0,1,1,0,0,spicy
66,0,1,0,0,0,0,1,0,1,1,savory
242,0,1,0,0,0,0,1,0,0,0,spicy
239,0,0,1,0,0,0,1,0,0,0,savory
252,0,1,0,0,0,1,0,0,1,1,spicy
232,0,1,0,0,0,1,0,0,1,1,spicy
272,0,0,1,0,0,1,0,1,0,0,spicy
89,0,0,0,1,0,0,1,0,0,0,savory
361,0,0,0,1,0,1,0,1,0,0,spicy
114,1,0,0,0,0,0,1,0,0,0,savory
353,0,0,1,0,0,1,0,1,0,0,sweet
217,0,0,0,1,0,1,0,1,0,0,spicy
292,0,1,0,0,0,1,0,0,1,1,sweet
98,1,0,0,0,0,0,1,1,0,0,sweet
205,0,1,0,0,0,0,1,0,1,1,savory
369,1,0,0,0,0,1,0,0,0,0,spicy
73,0,1,0,0,0,1,0,0,1,1,savory
344,0,0,1,0,0,1,0,1,0,0,savory
97,0,0,0,0,1,1,0,1,0,0,savory
372,0,0,0,1,0,0,1,0,1,1,spicy
150,0,1,0,0,0,1,0,1,0,0,sweet
132,1,0,0,0,0,0,1,0,0,0,savory
130,1,0,0,0,0,0,1,0,0,0,spicy
161,0,0,0,1,0,0,1,1,0,0,savory
325,0,0,1,0,0,0,1,0,0,0,savory
173,0,1,0,0,0,1,0,0,1,1,spicy
127,0,0,0,0,1,0,1,1,0,0,savory
267,1,0,0,0,0,1,0,0,0,0,sweet
151,0,0,1,0,0,1,0,0,0,0,spicy
261,1,0,0,0,0,1,0,0,1,1,spicy
10,0,1,0,0,0,1,0,1,0,0,spicy
65,0,0,0,0,1,1,0,0,0,0,savory
181,0,0,0,1,0,0,1,0,1,1,savory
6,0,0,0,0,1,1,0,1,0,0,sweet
136,0,0,0,1,0,1,0,1,0,0,savory
300,0,1,0,0,0,0,1,1,0,0,spicy
367,1,0,0,0,0,1,0,0,1,1,spicy
118,0,0,0,1,0,1,0,0,1,1,savory
128,0,0,1,0,0,0,1,1,0,0,savory
59,0,1,0,0,0,1,0,0,1,1,spicy
287,0,0,0,1,0,1,0,0,0,0,savory
296,0,0,1,0,0,1,0,1,0,0,savory
167,0,0,1,0,0,0,1,1,0,0,savory
219,1,0,0,0,0,0,1,1,0,0,savory
354,0,0,0,0,1,0,1,1,0,0,savory
137,0,1,0,0,0,1,0,0,1,1,savory
