,age_10대,age_20대,age_30대,age_40대,age_50대 이상,sex_F,sex_M,time_dinner,time_late night snack,time_launch,feeling_annoying,feeling_plearsure / joy,feeling_sadness / depressed,weather_cloudy / rain,weather_etc,weather_sunny
52,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0
243,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0
358,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
62,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
280,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
216,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
220,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
294,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
61,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
208,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
199,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
69,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
86,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
200,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
94,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
134,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
190,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1
55,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
283,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
125,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
45,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
240,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
340,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
79,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
16,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0
15,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0
373,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
255,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1
319,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
121,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
332,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
170,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0
64,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1
41,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
99,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
226,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
307,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
298,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
172,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
317,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0
229,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0
112,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0
80,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1
370,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
146,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
274,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
42,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
312,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
53,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
